refactoringType,name,description,diffUrl
"Merge Operation",netty,"Merge Operation	public writeBytes(src ByteBuf, length int) : void merged to public writeBytes(src ByteBuf, length int) : WrappedByteBuf in class io.netty.buffer.SwappedByteBuf",https://github.com/netty/netty/commit/cbcabaf29b24fb4c04334c851c33ce9a278a3389?diff=split
"Merge Operation",k-9,"Merge Operation	public getDisplayName(context Context, folder Folder) : String merged to public getDisplayName(context Context, account Account, name String) : String in class com.fsck.k9.activity.FolderInfoHolder",https://github.com/k9mail/k-9/commit/cec2f4cdee31bb8c154926bd62402847db9617f3?diff=split
"Merge Operation",jsoup,"Merge Operation	package outerHtmlHead(accum StringBuilder, depth int) : void merged to package outerHtmlHead(accum StringBuilder, depth int, out OutputSettings) : void in class org.jsoup.nodes.Element",https://github.com/jhy/jsoup/commit/57bce6dc8424637621f6b660855f23e72a08c4b3?diff=split
"Merge Operation",junit,"Merge Operation	package TestClassRunnerForParameters(type Class<?>, parameters Object[], name String) merged to protected TestClassRunnerForParameters(type Class<?>, pattern String, index int, parameters Object[]) in class org.junit.runners.Parameterized.TestClassRunnerForParameters",https://github.com/junit-team/junit/commit/61badf2f7f147d6e782e1700b24da4ac06ce070c?diff=split
"Merge Operation",k-9,"Merge Operation	public deleteMessages(account Account, folder String, messages Message[], listener MessagingListener) : void merged to public deleteMessageList(account Account, folder String, messageList List<Message>, listener MessagingListener) : void in class com.android.email.MessagingController",https://github.com/k9mail/k-9/commit/3525337075854719fdfc3c10d6f9587e64f0567c?diff=split
"Merge Operation",voldemort,"Merge Operation	public SlopIterator(slopQueue SynchronousQueue<Versioned<Slop>>, deleteBatch List<Pair<ByteArray,Version>>) merged to public SlopIterator(slopQueue SynchronousQueue<Versioned<Slop>>, storageEngine SlopStorageEngine) in class voldemort.server.scheduler.slop.StreamingSlopPusherJob.SlopIterator",https://github.com/voldemort/voldemort/commit/9a9b00c149ae6720425cbe3a72b92503b82df1bb?diff=split
"Merge Operation",k-9,"Merge Operation	private moveOrCopyMessageSynchronous(account Account, srcFolder String, message Message, destFolder String, isCopy boolean, listener MessagingListener) : void merged to private moveOrCopyMessageSynchronous(account Account, srcFolder String, inMessages Message[], destFolder String, isCopy boolean, listener MessagingListener) : void in class com.fsck.k9.MessagingController",https://github.com/k9mail/k-9/commit/c0e4220b82bd6e7e009367ba0422d71bbc8b0474?diff=split
"Merge Operation",netty,"Merge Operation	private fireChannelRead(ctx ChannelHandlerContext, msg FullHttpMessage, streamId int) : void merged to protected fireChannelRead(ctx ChannelHandlerContext, msg FullHttpMessage, streamId int) : void in class io.netty.handler.codec.http2.InboundHttp2ToHttpAdapter",https://github.com/netty/netty/commit/63d5925d6ec3a105aaa81961063564260842086e?diff=split
"Merge Operation",netty,"Merge Operation	public messageReceived(ctx ChannelHandlerContext, msg Object) : void merged to public channelRead(ctx ChannelHandlerContext, msg Object) : void in class io.netty.handler.timeout.ReadTimeoutHandler",https://github.com/netty/netty/commit/26e9d704578807b927363e17be75978daea66163?diff=split
"Merge Operation",titan,"Merge Operation	public writeRelation(relation InternalRelation, type InternalRelationType, position int, tx TypeInspector) : Entry merged to public writeRelation(relation InternalRelation, type InternalRelationType, position int, tx TypeInspector) : StaticArrayEntry in class com.thinkaurelius.titan.graphdb.database.EdgeSerializer",https://github.com/thinkaurelius/titan/commit/6053bf817676ead444719abfe89c24de4e895ab0?diff=split
"Rename Method",k-9,"Rename Method	protected isReadyForPullUp() : boolean renamed to protected isReadyForPullEnd() : boolean in class com.handmark.pulltorefresh.library.PullToRefreshWebView",https://github.com/k9mail/k-9/commit/186379cbd05bcd5b22ea912ec4846d6bb44298bc?diff=split
"Rename Method",junit,"Rename Method	package c() : int renamed to package gamma() : int in class org.junit.internal.MethodSorterTest.Dummy",https://github.com/junit-team/junit/commit/5d9e0022d3f6db1367d530579de6332b9c8802e3?diff=split
"Rename Method",junit,"Rename Method	public childBlock(method FrameworkMethod) : Statement renamed to public methodBlock(method FrameworkMethod) : Statement in class org.junit.tests.experimental.theories.extendingwithstubs.StubbedTheories",https://github.com/junit-team/junit/commit/1fcd990f60518c941a44bae2596392021614a20b?diff=split
"Rename Method",voldemort,"Rename Method	public addAllStealMasterPartitions(values Iterable<? extends java.lang.Integer>) : Builder renamed to public clearRebalancePartitionInfo() : Builder in class voldemort.client.protocol.pb.InitiateRebalanceNodeRequest.Builder",https://github.com/voldemort/voldemort/commit/d06fcec37fb3f3d45ffbd3fe15eafce77ba64069?diff=split
"Rename Method",titan,"Rename Method	public writeObjectData(buffer WriteBuffer, attribute boolean[]) : void renamed to public write(buffer WriteBuffer, attribute boolean[]) : void in class com.thinkaurelius.titan.graphdb.database.serialize.attribute.BooleanArraySerializer",https://github.com/thinkaurelius/titan/commit/c7712a21c768cdd9893d0f6b03b12fef720e5a2b?diff=split
"Rename Method",voldemort,"Rename Method	public setStoreToRODir(index int, value ROStoreVersionDirMap) : Builder renamed to public setStealerRoStoreToDir(index int, value ROStoreVersionDirMap) : Builder in class voldemort.client.protocol.pb.InitiateRebalanceNodeRequest.Builder",https://github.com/voldemort/voldemort/commit/d24f295f897528431bcdf914e9b8919987252298?diff=split
"Rename Method",junit,"Rename Method	public micros(nanos long) : long renamed to public toMicros(nanos long) : long in class org.junit.rules.TimeWatcher",https://github.com/junit-team/junit/commit/0a2601045f101930d0ca7f31c53b416fafbbe7a7?diff=split
"Rename Method",android-async-http,"Rename Method	public getIp() : String renamed to public getAcceptLanguage() : String in class com.loopj.android.http.sample.util.SampleJSON",https://github.com/loopj/android-async-http/commit/e8b4797212cb58a626c2264bc3e35fa35b0f3027?diff=split
"Rename Method",netty,"Rename Method	protected firstOut() : ChannelBufferHolder<Object> renamed to protected newOutboundBuffer() : ChannelBufferHolder<?> in class io.netty.channel.socket.oio.OioServerSocketChannel",https://github.com/netty/netty/commit/392623749eaadbbb4169103480971fac0b635784?diff=split
"Rename Method",voldemort,"Rename Method	public addDeletePartitions(value int) : Builder renamed to public clearRebalancePartitionInfo() : Builder in class voldemort.client.protocol.pb.InitiateRebalanceNodeRequest.Builder",https://github.com/voldemort/voldemort/commit/d06fcec37fb3f3d45ffbd3fe15eafce77ba64069?diff=split
"Move Class",RxJava,"Move Class	rx.operators.OperationTakeUntil.UnitTest.TestObservable moved to rx.operators.OperationTakeUntilTest.TestObservable",https://github.com/ReactiveX/RxJava/commit/cc7958d90f40090cd2f57038f7de95a3d4be69c5?diff=split
"Move Class",netty,"Move Class	io.netty.example.http.websocketx.autobahn.AutobahnServer moved to io.netty.testsuite.websockets.autobahn.AutobahnServer",https://github.com/netty/netty/commit/ff9e36840165eed148df8c196f4382b7f6df00ff?diff=split
"Move Class",k-9,"Move Class	com.android.email.service.MailService moved to com.fsck.k9.service.MailService",https://github.com/k9mail/k-9/commit/f31b2702a4ea846434d58379ce7b6a1c15f0eb62?diff=split
"Move Class",titan,"Move Class	com.thinkaurelius.faunus.formats.titan.input.TitanFaunusSetup moved to com.thinkaurelius.titan.hadoop.formats.titan.input.TitanFaunusSetup",https://github.com/thinkaurelius/titan/commit/9a47a0c36d02635d43689a36d04828be5e2e5d0b?diff=split
"Move Class",RxJava,"Move Class	rx.util.AtomicObserverMultiThreaded.UnitTest moved to rx.util.SynchronizedObserver.UnitTest",https://github.com/ReactiveX/RxJava/commit/5d6346e0299eefeac6b55d371a2ffb4b550203e8?diff=split
"Move Class",k-9,"Move Class	com.android.email.mail.Folder moved to com.fsck.k9.mail.Folder",https://github.com/k9mail/k-9/commit/c00ec35921d4dd4d9dd17c5f5544d183df5c4501?diff=split
"Move Class",RxJava,"Move Class	org.rx.reactive.CompositeException moved to rx.observables.CompositeException",https://github.com/ReactiveX/RxJava/commit/aa423afe518e998fb0a70c987e529f3b4af954f5?diff=split
"Move Class",k-9,"Move Class	com.android.email.mail.transport.SmtpTransport moved to com.fsck.k9.mail.transport.SmtpTransport",https://github.com/k9mail/k-9/commit/f31b2702a4ea846434d58379ce7b6a1c15f0eb62?diff=split
"Move Class",junit,"Move Class	junit.tests.InheritedTestCase moved to junit.tests.framework.InheritedTestCase",https://github.com/junit-team/junit/commit/9af2e559040ea3bc3db5c5d39b2c4a27098d5a76?diff=split
"Move Class",junit,"Move Class	org.junit.tests.experimental.rules.ExpectedExceptionRuleTest.HasWrongMessage moved to org.junit.tests.experimental.rules.ExpectedExceptionTest.HasWrongMessage",https://github.com/junit-team/junit/commit/128553fc50758932f02fc6e13a3e25ef6a711152?diff=split
"Move Operation",storm,"Move Operation	public set_result_isSet(value boolean) : void from class backtype.storm.generated.DistributedRPCInvocations to public set_functionName_isSet(value boolean) : void from class backtype.storm.generated.DistributedRPC.execute_args",https://github.com/nathanmarz/storm/commit/cdb116e942666973bc4eaa0df098d5bab82739e7?diff=split
"Move Operation",k-9,"Move Operation	public move(from File, to File) : boolean from class com.fsck.k9.helper.Utility to public isQuietTime() : boolean from class com.fsck.k9.K9",https://github.com/k9mail/k-9/commit/34cfd8e5b422fa8c5b30fc0c526fb747e519feb0?diff=split
"Move Operation",titan,"Move Operation	public testCacheConcurrency() : void from class com.thinkaurelius.titan.graphdb.TitanEventualGraphTest to public testInternalAndExternalIndexing() : void from class com.thinkaurelius.titan.graphdb.TitanIndexTest",https://github.com/thinkaurelius/titan/commit/46a4fd6c01767819d7d8748de287e931cc523fa0?diff=split
"Move Operation",voldemort,"Move Operation	public setSwapStoresAndCleanState(builderForValue Builder) : Builder from class voldemort.client.protocol.pb.VoldemortAdminRequest.Builder to public clearRebalancePartitionInfo() : Builder from class voldemort.client.protocol.pb.InitiateRebalanceNodeRequest.Builder",https://github.com/voldemort/voldemort/commit/d06fcec37fb3f3d45ffbd3fe15eafce77ba64069?diff=split
"Move Operation",voldemort,"Move Operation	public addAllPartitions(values Iterable<? extends java.lang.Integer>) : Builder from class voldemort.client.protocol.pb.DeletePartitionEntriesRequest.Builder to public setReplicaToPartition(index int, value PartitionTuple) : Builder from class voldemort.client.protocol.pb.FetchPartitionEntriesRequest.Builder",https://github.com/voldemort/voldemort/commit/a7c9b91f1f02d3b4a82b53edb82dfa086743962a?diff=split
"Move Operation",voldemort,"Move Operation	package makePlan(cCluster Cluster, cStores List<StoreDefinition>, fCluster Cluster, fStores List<StoreDefinition>) : RebalancePlan from class voldemort.client.rebalance.RebalancePlanTest to public makePlan(cCluster Cluster, cStores List<StoreDefinition>, fCluster Cluster, fStores List<StoreDefinition>) : RebalancePlan from class voldemort.ClusterTestUtils",https://github.com/voldemort/voldemort/commit/c228e5f7f819bd74ceec8070ad0ededbe4220167?diff=split
"Move Operation",voldemort,"Move Operation	public isPartitionAware() : boolean from class voldemort.store.noop.NoopStorageEngine to public delete(request VoldemortRequestWrapper<ByteArray,byte[]) : boolean from class voldemort.store.routed.PipelineRoutedStore",https://github.com/voldemort/voldemort/commit/9785e684d183fbebe99c35e517a3e60333b5f5b6?diff=split
"Move Operation",k-9,"Move Operation	public getTimeFormat() : DateFormat from class com.fsck.k9.activity.K9Activity to public getThemeBackgroundColor() : int from class com.fsck.k9.activity.K9ListActivity",https://github.com/k9mail/k-9/commit/8a226972a545ef95f9edbe898e5f6423b4b1873f?diff=split
